,0
2023-09-25 16:49:00.750,"2023-09-25 16:49:00.750    0.831825
Freq: 25L, dtype: float64"
2023-09-25 16:49:00.775,"2023-09-25 16:49:00.775    0.821107
Freq: 25L, dtype: float64"
2023-09-25 16:49:00.800,"2023-09-25 16:49:00.800    0.798437
Freq: 25L, dtype: float64"
2023-09-25 16:49:00.825,"2023-09-25 16:49:00.825    0.863998
Freq: 25L, dtype: float64"
2023-09-25 16:49:00.850,"2023-09-25 16:49:00.850    0.859757
Freq: 25L, dtype: float64"
2023-09-25 16:49:00.875,"2023-09-25 16:49:00.875    0.920016
Freq: 25L, dtype: float64"
2023-09-25 16:49:00.900,"2023-09-25 16:49:00.900    0.941922
Freq: 25L, dtype: float64"
2023-09-25 16:49:00.925,"2023-09-25 16:49:00.925    0.949665
Freq: 25L, dtype: float64"
2023-09-25 16:49:00.950,"2023-09-25 16:49:00.950    0.988399
Freq: 25L, dtype: float64"
2023-09-25 16:49:00.975,"2023-09-25 16:49:00.975    1.03277
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.000,"2023-09-25 16:49:01    1.029874
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.025,"2023-09-25 16:49:01.025    1.055723
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.050,"2023-09-25 16:49:01.050    1.08868
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.075,"2023-09-25 16:49:01.075    1.057489
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.100,"2023-09-25 16:49:01.100    1.025514
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.125,"2023-09-25 16:49:01.125    0.966763
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.150,"2023-09-25 16:49:01.150    0.959165
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.175,"2023-09-25 16:49:01.175    0.899502
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.200,"2023-09-25 16:49:01.200    0.871835
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.225,"2023-09-25 16:49:01.225    0.885795
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.250,"2023-09-25 16:49:01.250    0.879372
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.275,"2023-09-25 16:49:01.275    0.853277
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.300,"2023-09-25 16:49:01.300    0.816793
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.325,"2023-09-25 16:49:01.325    0.809213
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.350,"2023-09-25 16:49:01.350    0.799965
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.375,"2023-09-25 16:49:01.375    0.866436
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.400,"2023-09-25 16:49:01.400    0.86381
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.425,"2023-09-25 16:49:01.425    0.938133
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.450,"2023-09-25 16:49:01.450    0.895583
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.475,"2023-09-25 16:49:01.475    0.91421
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.500,"2023-09-25 16:49:01.500    1.077069
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.525,"2023-09-25 16:49:01.525    1.157736
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.550,"2023-09-25 16:49:01.550    1.301432
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.575,"2023-09-25 16:49:01.575    1.367945
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.600,"2023-09-25 16:49:01.600    1.472593
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.625,"2023-09-25 16:49:01.625    1.591148
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.650,"2023-09-25 16:49:01.650    1.713356
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.675,"2023-09-25 16:49:01.675    1.861505
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.700,"2023-09-25 16:49:01.700    1.941609
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.725,"2023-09-25 16:49:01.725    1.959479
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.750,"2023-09-25 16:49:01.750    1.982371
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.775,"2023-09-25 16:49:01.775    2.006322
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.800,"2023-09-25 16:49:01.800    2.020234
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.825,"2023-09-25 16:49:01.825    2.02454
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.850,"2023-09-25 16:49:01.850    2.010364
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.875,"2023-09-25 16:49:01.875    2.004866
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.900,"2023-09-25 16:49:01.900    2.033156
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.925,"2023-09-25 16:49:01.925    2.069119
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.950,"2023-09-25 16:49:01.950    2.127218
Freq: 25L, dtype: float64"
2023-09-25 16:49:01.975,"2023-09-25 16:49:01.975    2.125823
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.000,"2023-09-25 16:49:02    2.114089
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.025,"2023-09-25 16:49:02.025    2.142046
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.050,"2023-09-25 16:49:02.050    2.145081
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.075,"2023-09-25 16:49:02.075    2.158928
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.100,"2023-09-25 16:49:02.100    2.163325
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.125,"2023-09-25 16:49:02.125    2.170163
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.150,"2023-09-25 16:49:02.150    2.18895
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.175,"2023-09-25 16:49:02.175    2.148736
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.200,"2023-09-25 16:49:02.200    2.161348
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.225,"2023-09-25 16:49:02.225    2.249606
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.250,"2023-09-25 16:49:02.250    2.259205
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.275,"2023-09-25 16:49:02.275    2.23058
Freq: 25L, dtype: float64"
2023-09-25 16:49:02.300,"2023-09-25 16:49:02.300    2.232402
Freq: 25L, dtype: float64"
